Length,Num. Steps,SNR,LSD,Time Generation
82102,309,tensor(0.0384),tensor(2.6325),15.935263872146606
150634,364,tensor(0.0404),tensor(2.5510),34.55401873588562
97114,263,tensor(0.0353),tensor(2.3062),16.082027196884155
122764,325,tensor(0.0720),tensor(2.3827),25.104469299316406
77890,473,tensor(0.0301),tensor(2.8168),23.439780235290527
77184,344,tensor(0.0620),tensor(2.4849),16.75646209716797
76096,305,tensor(0.0541),tensor(2.4172),14.802637815475464
221610,418,tensor(0.0408),tensor(2.2413),59.7048065662384
94334,479,tensor(0.0088),tensor(2.2234),28.76277208328247
81526,241,tensor(0.0267),tensor(2.4568),12.52412724494934
125982,220,tensor(0.0632),tensor(2.3339),17.596659183502197
88746,346,tensor(0.0455),tensor(2.2661),19.648499488830566
158448,384,tensor(0.0288),tensor(2.4948),38.7610878944397
93856,488,tensor(0.0453),tensor(2.5664),29.23126792907715
109242,400,tensor(0.0477),tensor(2.4154),27.77232336997986
120916,310,tensor(0.0291),tensor(2.6105),23.73785376548767
171896,210,tensor(0.0415),tensor(2.4364),22.78364658355713
108930,280,tensor(0.0622),tensor(2.3154),19.300118923187256
138686,478,tensor(0.0358),tensor(2.4020),42.257185220718384
70658,386,tensor(0.0665),tensor(2.3281),17.47074317932129
95950,317,tensor(0.0482),tensor(2.5105),19.292808771133423
121268,296,tensor(0.0293),tensor(2.6190),22.711187601089478
90528,251,tensor(0.0466),tensor(2.5420),14.50458288192749
99840,251,tensor(0.0580),tensor(2.3443),15.85508394241333
115778,499,tensor(0.0300),tensor(2.5745),36.717549562454224
157262,465,tensor(0.0369),tensor(2.3688),46.4729700088501
116716,224,tensor(0.0437),tensor(2.6700),16.589333057403564
147220,366,tensor(0.0586),tensor(2.3967),34.43582367897034
122000,450,tensor(0.0362),tensor(2.4563),34.42183518409729
126832,220,tensor(0.0693),tensor(2.2827),17.459845542907715
83578,394,tensor(0.0754),tensor(2.3151),20.929229497909546
78720,446,tensor(0.0375),tensor(2.6944),22.59414577484131
79714,298,tensor(0.0575),tensor(2.3546),15.249059677124023
170816,319,tensor(0.0395),tensor(2.5836),34.57196664810181
135164,202,tensor(0.0532),tensor(2.4423),17.433556079864502
139886,299,tensor(0.0312),tensor(2.2641),26.515205144882202
78032,406,tensor(0.0526),tensor(2.7232),20.31811547279358
120948,467,tensor(0.0423),tensor(2.6427),35.7615749835968
96680,328,tensor(0.0398),tensor(2.3340),20.14918565750122
81600,377,tensor(0.0368),tensor(2.6813),19.503583431243896
153410,289,tensor(0.0361),tensor(2.2290),28.144932508468628
79724,474,tensor(0.0782),tensor(2.6065),24.150242567062378
114696,469,tensor(0.0250),tensor(2.6121),34.274473905563354
72942,486,tensor(0.0521),tensor(2.4581),22.697158575057983
131604,489,tensor(0.0468),tensor(2.4680),41.275429248809814
70300,275,tensor(0.0575),tensor(2.6229),12.39412546157837
88844,201,tensor(0.0319),tensor(2.8700),11.46241021156311
70586,227,tensor(0.0709),tensor(2.8108),10.237813472747803
256716,203,tensor(-0.0087),tensor(2.4752),33.37184405326843
132990,245,tensor(0.0634),tensor(2.2169),20.58699917793274
225254,375,tensor(0.0196),tensor(2.3989),54.070109605789185
156116,492,tensor(0.0402),tensor(2.2519),49.13513946533203
98880,301,tensor(0.0415),tensor(2.6837),18.929469108581543
166258,384,tensor(0.0327),tensor(2.4778),40.55782389640808
119426,469,tensor(0.0129),tensor(2.2400),35.38925242424011
149164,201,tensor(0.0466),tensor(2.3173),18.896849632263184
124800,225,tensor(0.0603),tensor(2.3771),17.554701805114746
113084,330,tensor(0.0565),tensor(2.5683),23.716382026672363
139898,494,tensor(0.0154),tensor(2.4377),43.649118185043335
128984,482,tensor(0.0395),tensor(2.5244),39.37523031234741
114364,445,tensor(0.0604),tensor(2.3684),32.19001054763794
97722,441,tensor(0.0299),tensor(2.6499),27.437838315963745
128116,284,tensor(0.0304),tensor(2.5506),23.055521726608276
